dispensary_name,postal_city,county,full_address,long,lat
Koda Boy Investments,Eugene,Lane,"86305 College View Rd , Eugene, Or",-123.0198892,44.0081688
La Mota ,Eugene,Lane,"1291 W 7Th Ave , Eugene, Or",-123.1120584,44.0526338
Lucky Lion,Eugene,Lane,"2164 W 7Th Ave , Eugene, Or",-123.1261763,44.052179
Mood,Eugene,Lane,"40 River Loop 2 Building 1 Suite B , Eugene, Or",-123.1373016,44.1187856
Moss Crossing,Eugene,Lane,"2751 Friendly St. , Eugene, Or",-123.105192,44.0284594
Mr. Nice Guy Eugene,Eugene,Lane,"771 Washington St , Eugene, Or",-123.1001313,44.0513054
Nectar,Eugene,Lane,"340 River Road , Eugene, Or",-123.1179898,44.0658573
Nectar,Eugene,Lane,"698 W. 6Th Avenue , Eugene, Or",-123.1030838,44.0530061
Next Level Wellness ,Eugene,Lane,"2837 Willamette Street Suite A , Eugene, Or",-123.0904646,44.0272986
Nodak Green Prairie,Eugene,Lane,"390 Coburg Road Suite A - 2, Eugene, Or",-123.0732575,44.0668432
Oregon Cannabis Outlet,Eugene,Lane,"1416 W 7Th Ave , Eugene, Or",-123.1146084,44.0518625
Oregon Cannabis Outlet-Willamette,Eugene,Lane,"1361 Willamette Street , Eugene, Or",-123.0924749,44.0449787
Oregon Medigreen,Eugene,Lane,"570 Lawrence St #112 , Eugene, Or",-123.09909,44.053729
Oregon'S Green Rush,Eugene,Lane,"2644 River Road #5 , Eugene, Or",-123.1313268,44.1023589
Peach Cannabis,Eugene,Lane,"1553 Oak Street , Eugene, Or",-123.0907486,44.0427862
Phresh Start,Eugene,Lane,"1055 Bailey Hill Rd Ste. C & G , Eugene, Or",-123.1475902,44.049082
Prohibitions Falls,Eugene,Lane,"2270 W 11Th Ave , Eugene, Or",-123.1269426,44.047582
Quick Stop Cannabis,Eugene,Lane,"1681 W. 7Th Avenue , Eugene, Or",-123.1178922,44.0524471
Rare Earth Dispensary Llc,Eugene,Lane,"2880 Elmira Rd Suite B, Eugene, Or",-123.1392119,44.0654394
River Valley Remedies,Eugene,Lane,"1985 W 7Th Ave , Eugene, Or",-123.122301,44.052449
Solutions Of The Millennium Llc,Eugene,Lane,"2893 Oak St , Eugene, Or",-123.089518,44.0264077
Spacebuds,Eugene,Lane,"741 Lincoln Street , Eugene, Or",-123.0970499,44.0516621
Sweet Tree Farms,Eugene,Lane,"4097 West 11Th Ave , Eugene, Or",-123.1618482,44.0485958
Terpene Station,Eugene,Lane,"645 River Road Suite 3 , Eugene, Or",-123.118157,44.0718871
The Greener Side Detroit Lake,Eugene,Lane,"1407 River Road , Eugene, Or",-123.1236909,44.0861054
The Herbal Connection ,Eugene,Lane,"463 River Ave. , Eugene, Or",-123.1181915,44.0968801
The Oz. House,Eugene,Lane,"1775 W 6Th St. Suite A , Eugene, Or",-123.11945,44.0535346
The People'S Wellness Center,Eugene,Lane,"71 Centennial Loop Suite B, Eugene, Or",-123.0787384,44.0606751
Tj'S On The Alley,Eugene,Lane,"1027 Willamette Street  , Eugene, Or",-123.092319,44.0484581
Tj'S Provisions,Eugene,Lane,"1910 Empire Park Drive , Eugene, Or",-123.1539895,44.0827266
Top Crop Cannabis,Eugene,Lane,"3170 W. 11Th Avenue, Unit A , Eugene, Or",-123.1398367,44.0475637
Track Town Collective,Eugene,Lane,"3675 Franklin Blvd , Eugene, Or",-123.0391837,44.0452604
Twenty After Four Wellness Center,Eugene,Lane,"420 Blair Blvd Suite A , Eugene, Or",-123.1092306,44.0550709
Buds 4 U,Florence,Lane,"1480 Rhododendron Dr , Florence, Or",-124.1049541,43.9708792
Harvest Moon Cannabis,Florence,Lane,"85289 Hwy 101 , Florence, Or",-124.1038922,43.9511145
Premium Choice Marijuana,Florence,Lane,"1770 Hwy 126  , Florence, Or",-124.1022369,43.9739839
The Arboretum,Florence,Lane,"1541 Hwy 101 , Florence, Or",-124.1015096,43.9804257
Buds 4 U,Mapleton,Lane,"10778 Highway 126 , Mapleton, Or",-123.8570988,44.0250832
Green Oaks,Oakridge,Lane,"48122 Oregon 58 #A , Oakridge, Or",-122.4643711,43.7433277
Phresh Start,Oakridge,Lane,"47670 Hwy. 58 Suite B , Oakridge, Or",-122.4819806,43.7460449
Mr. Nice Guy Retail,Salem,Lane,"4340 Commercial St Se Ste 120 , Salem, Or",-123.0344377,44.8919201
"Cannabis, Llc",Springfield,Lane,"1936 Main Street , Springfield, Or",-122.9961872,44.0462299
Cannabliss & Co. ,Springfield,Lane,"2600 Main Street Suite E, Springfield, Or",-122.9889204,44.0463365
Deep Roots Cannabis,Springfield,Lane,"2155 Olympic St. , Springfield, Or",-122.9934813,44.0592608
Good Karma,Springfield,Lane,"3332 Main St , Springfield, Or",-122.9788173,44.0461674
Hashstoria,Springfield,Lane,"1840 Main St , Springfield, Or",-122.9976618,44.0461168
K9 Chronic Llc,Springfield,Lane,"1505 18Th St. Ste. Ab, Springfield, Or",-122.9979426,44.0587696
Mid Valley Cannabis,Springfield,Lane,"2147 Main St , Springfield, Or",-122.9938222,44.0455232
Nectar Markets,Springfield,Lane,"3650 Main Street , Springfield, Or",-122.9741023,44.0461426
Old School Bliss,Springfield,Lane,"2090 Olympic St  Ste D, Springfield, Or",-122.9950653,44.0602413
Phresh Start Llc,Springfield,Lane,"1623 21St St  Ste B, Springfield, Or",-122.9938445,44.0589038
Urban Canna Apothecary ,Springfield,Lane,"1815 Main Street #A , Springfield, Or",-122.9746767,44.0455189
Canna Royal Llc,Veneta,Lane,"25805 Hwy 126 Suite 1-B  , Veneta, Or",-123.323961,44.053571
Mr. Nice Guy Veneta,Veneta,Lane,"25561 Hwy 126 , Veneta, Or",-123.3326795,44.0529862
Oregon'S Herbal Remedies,Veneta,Lane,"88344 Territorial Rd  , Veneta, Or",-123.3538752,44.0553082
Flower Pot,Depoe Bay,Lincoln,"433 N Hwy 101 , Depoe Bay, Or",-124.0631793,44.8170998
Hippy Trip,Depoe Bay,Lincoln,"249 S Us-101 , Depoe Bay, Or",-124.0620422,44.8085739
Mr. Nice Guy Depoe,Depoe Bay,Lincoln,"104 N Hwy 101 , Depoe Bay, Or",-124.0621259,44.8130045
Touch Of Aloha,Depoe Bay,Lincoln,"3885 N Highway 101  Suite B , Depoe Bay, Or",-124.0448918,44.8492246
Attis Trading Company,Lincoln City,Lincoln,"3026 Ne Hwy 101 #1 , Lincoln City, Or",-124.005429,44.9874192
Lincoln City Collective,Lincoln City,Lincoln,"1266 Sw 50Th St , Lincoln City, Or",-124.0156765,44.9285093
Nw Advantage,Lincoln City,Lincoln,"3478 Ne Hwy 101 , Lincoln City, Or",-124.0057284,44.9907357
Pacific Wave,Lincoln City,Lincoln,"1543 Nw 19Th Suite B , Lincoln City, Or",-124.0114993,44.9786742
Pipe Dreams Dispensary,Lincoln City,Lincoln,"1745 Sw Highway 101 Suites A, B & C, Lincoln City, Or",-124.014168,44.9554535
Renee'S Herb Store Llc,Lincoln City,Lincoln,"3203 Sw Hwy 101 , Lincoln City, Or",-124.021062,44.943238
Sunray Cannabis ,Lincoln City,Lincoln,"1347 Nw Hwy 101 , Lincoln City, Or",-124.0130246,44.9751278
T.E.R.P Collective Inc,Lincoln City,Lincoln,"4355 Ne Hwy 101 Suite A , Lincoln City, Or",-124.0049732,44.9968599
Cannamedicine Newport,Newport,Lincoln,"157 Nw 15Th St. , Newport, Or",-124.0543344,44.6480487
I And I Newport,Newport,Lincoln,"452 Sw Bay Blvd , Newport, Or",-124.0543618,44.6295706
Oregon Bud Company Llc,Newport,Lincoln,"837 Sw Bay Blvd , Newport, Or",-124.0560252,44.62692
Oregon Coast Dispensary Inc,Newport,Lincoln,"861 A. Nw Beach Drive , Newport, Or",-124.0610999,44.6391563
The Medication Station,Newport,Lincoln,"454 Sw Coast Highway , Newport, Or",-124.0578627,44.6327908
Otis Collective,Otis,Lincoln,"1257 Salmon River Hwy , Otis, Or",-123.949561,45.0195242
Bernie'S Universal Dispensaries,South Beach,Lincoln,"3842 S Coast Hwy , South Beach, Or",-124.0517905,44.6102812
Green Dragon Herbal Clinic,Toledo,Lincoln,"185 N. Main St , Toledo, Or",-123.9375555,44.621027
Coastal Cannabinoids,Waldport,Lincoln,"1466 Sw Pacific Coast Highway , Waldport, Or",-124.081435,44.41588
Discovery Cannabis,Waldport,Lincoln,"250 Sw Hwy 101 , Waldport, Or",-124.0688062,44.4246305
Mr. Nice Guy Waldport,Waldport,Lincoln,"220 Nw Alsea Hwy #34 , Waldport, Or",-124.0627624,44.4275348
Yachats Cannabis Company,Yachats,Lincoln,"430 N Hwy 101 , Yachats, Or",-124.1041914,44.312717
Albany Alternative Health Solutions,Albany,Linn,"820 Pacific Blvd Se B , Albany, Or",-123.0944716,44.6326881
Beaver Bowls,Albany,Linn,"1434 Pacific Blvd Se , Albany, Or",-123.0863308,44.6336164
Cloud 9 Cannabis,Albany,Linn,"154 Manor St Ne , Albany, Or",-123.0591124,44.6450647
Emerald Triangle Dispensary,Albany,Linn,"838 Pacific Blvd Se , Albany, Or",-123.093767,44.6327698
Four Seasons Dispensary And Resource Center,Albany,Linn,"30943 Ehlen Drive Ste A , Albany, Or",-123.1518972,44.568286
"Going Green Albany, Inc.",Albany,Linn,"1225 S Commercial Way Se , Albany, Or",-123.0543014,44.6303468
Homegrown Oregon,Albany,Linn,"921 Se 9Th Ave , Albany, Or",-123.092992,44.6326586
Oregon Cannabis Co. ,Albany,Linn,"1977 Santiam Hwy.  , Albany, Or",-123.081215,44.634401
Green Cross Dispensary,Brownsville,Linn,"221 West Bishop Way  , Brownsville, Or",-122.9866727,44.3867089
La Mota,Lebanon,Linn,"620 S Main St , Lebanon, Or",-122.9072014,44.5397959
La Mota Lebanon 2 Llc ,Lebanon,Linn,"260 N Santiam Hwy , Lebanon, Or",-122.9074858,44.5475596
La Mota Lebanon 3 Llc ,Lebanon,Linn,"2645 S Main Rd  , Lebanon, Or",-122.90678,44.5207282
Modern Forest,Lebanon,Linn,"634 S. Main Street , Lebanon, Or",-122.9074821,44.539617
Mr. Nice Guy Lebanon,Lebanon,Linn,"700 Park St , Lebanon, Or",-122.9057487,44.5388783
The Oz. House,Lebanon,Linn,"712 Park St , Lebanon, Or",-122.9057302,44.5389447
Wanderlust Lebanon Llc,Lebanon,Linn,"1111 S Main St , Lebanon, Or",-122.9067639,44.5353887
"17 Farms, Llc",Sweet Home,Linn,"550 Main Street , Sweet Home, Or",-122.7377478,44.3984258
Going Green Sweet Home,Sweet Home,Linn,"925 Main St  , Sweet Home, Or",-122.7333659,44.3970877
La Mota ,Sweet Home,Linn,"4320 Hwy 20 , Sweet Home, Or",-122.6898772,44.4047612
La Mota Sweet Home Llc,Sweet Home,Linn,"1025-1027 Main Street , Sweet Home, Or",-122.7315235,44.3973114
Tangent Farmacy,Tangent,Linn,"32990 Hwy 99E , Tangent, Or",-123.1104419,44.5411376
Justice Cannabis Company,Aurora,Marion,"21558 Or-99E , Aurora, Or",-122.7555435,45.2310728
Canyon Cannabis,Gates,Marion,"106 E Central St , Gates, Or",-122.4158751,44.7553811
Hierba Buena ,Hubbard,Marion,"3674 Pacific Hwy , Hubbard, Or",-122.8039153,45.1814832
"Alpha Alternative Solutions, Llc",Keizer,Marion,"3700 River Road N Suite 11, Keizer, Or",-123.026161,44.9797391
Oregon Bud Company ,Keizer,Marion,"3450 River Rd N , Keizer, Or",-123.0268221,44.975619
The Grass Hut Ii,Keizer,Marion,"4085 Cherry Avenue Ne  , Keizer, Or",-123.0253042,44.98415
A Prime Leaf,Salem,Marion,"2974 12Th St Se , Salem, Or",-123.0303998,44.9117862
Cannamedicine,Salem,Marion,"3212 Triangle Dr Se , Salem, Or",-123.0461613,44.9100089
Capitol Green Leaf,Salem,Marion,"1890 Capitol St Ne , Salem, Or",-123.0201465,44.9546489
Cherry City Compassion,Salem,Marion,"1855 25Th Street , Salem, Or",-123.0107157,44.9201081
Club Pitbull,Salem,Marion,"1860 State St , Salem, Or",-123.0186424,44.9346361
Crush Cannabis,Salem,Marion,"2345 Center St. Ne , Salem, Or",-123.0092726,44.9402229
Crush Cannabis,Salem,Marion,"1026 Commercial St Ne , Salem, Or",-123.0354357,44.9506999
Diem,Salem,Marion,"1040 Commercial Street Se , Salem, Or",-123.0436139,44.9308456
Eden,Salem,Marion,"4618 Portland Rd. Ne #110 , Salem, Or",-122.9891176,44.9869466
Green Cross Cannabis Emporium,Salem,Marion,"4550 Commercial St Se , Salem, Or",-123.0331346,44.8884837
Green Cross Cannabis Emporium,Salem,Marion,"3165 River Road N , Salem, Or",-123.0301617,44.9722712
Herbal Remedies 2,Salem,Marion,"3940 Commercial St Se , Salem, Or",-123.0379973,44.8989309
Hi Cascade,Salem,Marion,"5070 Commercial St Se Suite 115 & 120, Salem, Or",-123.0293173,44.8817618
Homegrown Oregon,Salem,Marion,"2820 Liberty Street Ne , Salem, Or",-123.0313958,44.9679624
Homegrown Oregon,Salem,Marion,"1803 Lansing Ne  , Salem, Or",-122.9981015,44.9517203
Inhale Dispensary,Salem,Marion,"2410 Mission Street Se Suite 010 , Salem, Or",-123.0126853,44.923092
Kaya Shack (2),Salem,Marion,"5757 Commercial St Se  Suite 108, Salem, Or",-123.0243225,44.8711594
Kaya Shack (4),Salem,Marion,"1252 23Rd St Suite 150 , Salem, Or",-123.014331,44.9231379
Livewell Cannabis,Salem,Marion,"696 Hawthorne Ave Ne , Salem, Or",-122.9914549,44.9392567
Livewell Dispensary,Salem,Marion,"1522 Broadway St Ne , Salem, Or",-123.0294439,44.9537938
Market Street Station,Salem,Marion,"3175 Market Street Ne , Salem, Or",-122.9967462,44.9509957
Moon Beam Budz,Salem,Marion,"2390  Fairgrounds Ne , Salem, Or",-123.0159334,44.9592933
Mr. Nice Guy Market St,Salem,Marion,"2794 Market St Ne , Salem, Or",-123.0010413,44.9495657
Mr. Nice Guy Retail,Salem,Marion,"4340 Commercial Street Se Suite 170, Salem, Or",-123.0344377,44.8919201
Mr. Nice Guy Salem,Salem,Marion,"1460 State Street , Salem, Or",-123.0235334,44.9358529
Mr. Nice Guy Salem,Salem,Marion,"3755 Commercial St Se , Salem, Or",-123.0407662,44.90179
Mr. Nice Guy Salem,Salem,Marion,"1640 Capitol St Ne  , Salem, Or",-123.0211509,44.9525629
Nectar,Salem,Marion,"4142 Liberty Road S , Salem, Or",-123.0553809,44.8954451
Nectar ,Salem,Marion,"1130 Royvonne Ave Se, #104 , Salem, Or",-123.0318444,44.8853279
Og Collective,Salem,Marion,"1617 Liberty St Ne , Salem, Or",-123.0323384,44.9553225
"Og Collective, Llc",Salem,Marion,"3537 Commercial St Se , Salem, Or",-123.0415611,44.9038077
"Og Collective, Llc",Salem,Marion,"3410 Hawthorne Ave Ne , Salem, Or",-122.9907995,44.9688186
"Og Collective, Llc",Salem,Marion,"1255 Cross St Se Suite 150, Salem, Or",-123.0298231,44.9259598
Oregon Cannabis Outlet,Salem,Marion,"1330 12Th Street Se Suite 100, Salem, Or",-123.0302173,44.9245304
Piper'S Dispensary,Salem,Marion,"1729 Center St. Ne #170 , Salem, Or",-123.017607,44.9396903
Preserve Oregon,Salem,Marion,"1201 Commercial St Se  , Salem, Or",-123.0444862,44.9291048
Reefer Madness,Salem,Marion,"1675 Fairgrounds Rd. Ne , Salem, Or",-123.0249453,44.9540863
River Valley Remedies,Salem,Marion,"1487 Broadway St Ne , Salem, Or",-123.0307916,44.953394
"Salem Organics, Llc",Salem,Marion,"4980 Commercial Street Se , Salem, Or",-123.0311255,44.8840178
Thc Recreation Station Salem,Salem,Marion,"1295 Oxford St Se , Salem, Or",-123.0294968,44.9222436
The Bake Shop,Salem,Marion,"3125B Portland Rd Ne  , Salem, Or",-123.0092255,44.9672508
The Holistic Choice,Salem,Marion,"1045 Commercial St Se , Salem, Or",-123.0447359,44.9306981
The Joint ,Salem,Marion,"3270 Market St. Ne , Salem, Or",-122.9945841,44.9497708
The Joint On State,Salem,Marion,"2350 State St , Salem, Or",-123.0132812,44.9331653
Tokyo Starfish 4,Salem,Marion,"1695 Center Street , Salem, Or",-123.01826,44.939529
Truth Dispensary,Salem,Marion,"1735 Lancaster Dr. Ne , Salem, Or",-122.9839854,44.9510958
World Famous Top Shelf Cannabis,Salem,Marion,"2440 Mcgilchrist Street, Se , Salem, Or",-123.0111642,44.9163703
"Yak, Inc.",Salem,Marion,"1215 Wilbur St Se , Salem, Or",-123.0300633,44.9250887
Silver Creek Dispensary,Silverton,Marion,"307 E. Main Street , Silverton, Or",-122.7816999,45.0058933
The Lucky Leaf,Silverton,Marion,"208 Jersey St , Silverton, Or",-122.7816598,45.004135
Canna Bros. Stayton,Stayton,Marion,"2440 Martin Dr , Stayton, Or",-122.7930295,44.8130563
Homegrown Remedies,Stayton,Marion,"277 N 3Rd Ave , Stayton, Or",-122.7925667,44.7969864
"Today'S Herbal Choice Stayton, Llc",Stayton,Marion,"494 Wilco Road , Stayton, Or",-122.8146191,44.7985627
Hgr2,Turner,Marion,"7314 3Rd St Se , Turner, Or",-122.9546727,44.8491352
Treestar,Woodburn,Marion,"1385 Industrial Ave. , Woodburn, Or",-122.8304041,45.1578379
Cannabis Nation,Gresham,Multnomah,"1500 Ne Division St , Gresham, Or",-122.4164357,45.5045348
Green Mountain Fire,Gresham,Multnomah,"21951 Se Stark St. , Gresham, Or",-122.4361964,45.5192801
Kaleafa Gresham,Gresham,Multnomah,"1450 Se Orient Drive , Gresham, Or",-122.3970904,45.4863837
Nectar,Gresham,Multnomah,"505 Nw Burnside , Gresham, Or",-122.4370705,45.5107775
Swed.Co,Gresham,Multnomah,"2058 Nw Burnside , Gresham, Or",-122.4535661,45.514242
La Mota Court Llc,Medford,Multnomah,"1037 Court St , Medford, Or",-122.8806008,42.3366955
4.0 Belmont,Portland,Multnomah,"4011 Se Belmont St. , Portland, Or",-122.621418,45.5167232
Alternative Remedies,Portland,Multnomah,"8109 Se Flavel , Portland, Or",-122.5802249,45.4688257
Alternative Solutions ,Portland,Multnomah,"13560 Se Powell Blvd. , Portland, Or",-122.523903,45.497592
Amberlight Cannabis House,Portland,Multnomah,"2407 Se 49Th Ave , Portland, Or",-122.6122374,45.5050959
Americanna Rx,Portland,Multnomah,"8654 Ne Sandy Blvd , Portland, Or",-122.5734855,45.5543049
Arathi,Portland,Multnomah,"3376 Ne Sandy Blvd , Portland, Or",-122.629286,45.5320487
Archive Portland,Portland,Multnomah,"10645 Se Henry Street Suite B, Portland, Or",-122.5532162,45.4767263
Ascend Dispensary,Portland,Multnomah,"13836 & 13826 Ne Sandy Blvd , Portland, Or",-122.5206833,45.5534626
Attis Trading Company,Portland,Multnomah,"7737 Sw Barbur Blvd , Portland, Or",-122.6925977,45.4688952
Attis Trading Company,Portland,Multnomah,"4920 Ne Cully Blvd , Portland, Or",-122.5978496,45.5587277
Attis Trading Company,Portland,Multnomah,"2606 Se Gladstone St, #101 , Portland, Or",-122.639317,45.4930354
B And M Holdings,Portland,Multnomah,"2410 N Mississippi Ave Suite 100, Portland, Or",-122.6754708,45.5400641
Be Wonderful Wellness-Dispensary,Portland,Multnomah,"4565 Ne 60Th Ave. , Portland, Or",-122.6011285,45.5564037
Belmont Collective,Portland,Multnomah,"2036 Se Belmont St , Portland, Or",-122.644721,45.516246
Big Medicine Botanicals Llc,Portland,Multnomah,"5594 Ne Columbia Blvd , Portland, Or",-122.6055362,45.5692233
Bridge City Collective,Portland,Multnomah,"4312 N Williams Ave , Portland, Or",-122.6665644,45.5550209
Bridge City Collective,Portland,Multnomah,"215 Se Grand Avenue , Portland, Or",-122.661031,45.5212015
Broadway Cannabis Market,Portland,Multnomah,"427 Nw Broadway Ave , Portland, Or",-122.6779195,45.5263501
Brothers Cannabis,Portland,Multnomah,"3609 Se Division St , Portland, Or",-122.6261699,45.5049336
Brothers Cannabis,Portland,Multnomah,"1328 Se Morrison St. , Portland, Or",-122.6520865,45.5169485
Brothers Cannabis,Portland,Multnomah,"1639 Se Flavel , Portland, Or",-122.6486609,45.4710351
Bthcr Pdx Llc,Portland,Multnomah,"6611 Se Powell Blvd , Portland, Or",-122.5952538,45.4977944
Budding Culture ,Portland,Multnomah,"6802 Ne Broadway St  , Portland, Or",-122.5931546,45.5347159
Budlandia,Portland,Multnomah,"16440 Se Division St Suite B , Portland, Or",-122.494031,45.5042908
Budlandia,Portland,Multnomah,"8135 Se Woodward St , Portland, Or",-122.5791349,45.5016085
Budlandia,Portland,Multnomah,"7536 Ne Martin Luther King Blvd , Portland, Or",-122.6609394,45.5778522
Canna Daddy'S,Portland,Multnomah,"17020 Se Division St. , Portland, Or",-122.4870142,45.5044117
Cannabis Corner,Portland,Multnomah,"5431 Se  72Nd Ave. , Portland, Or",-122.5894743,45.4832412
Cannabliss & Co. ,Portland,Multnomah,"1917 Se 7Th Ave , Portland, Or",-122.6590664,45.5090527
Cannabliss & Co. ,Portland,Multnomah,"2231 W Burnside St , Portland, Or",-122.6970349,45.523471
Cannabliss And Co,Portland,Multnomah,"8701 Se Powell Blvd. , Portland, Or",-122.5730278,45.4977713
Cannasource,Portland,Multnomah,"4435 Ne 148Th Ave Unit C , Portland, Or",-122.5117159,45.5550878
Carefree Cannabis,Portland,Multnomah,"5926 Ne Killingsworth St , Portland, Or",-122.6013462,45.5625854
Chalice Farms,Portland,Multnomah,"13315 Ne Airport Way, 700A , Portland, Or",-122.525338,45.562685
Chalice Farms,Portland,Multnomah,"5333 Se Powell Blvd , Portland, Or",-122.6073072,45.4977356
Chalice Farms,Portland,Multnomah,"823 Sw Naito Parkway , Portland, Or",-122.6734059,45.5164783
Club Sky High,Portland,Multnomah,"8957 N Lombard St. , Portland, Or",-122.756702,45.5922812
Collective Awakenings,Portland,Multnomah,"2823 Ne Sandy Blvd. , Portland, Or",-122.636966,45.5295013
Curaleaf,Portland,Multnomah,"5103 Ne Fremont St  , Portland, Or",-122.610087,45.5484022
Cured Green,Portland,Multnomah,"3715 N Lombard St Ste. B , Portland, Or",-122.7050846,45.5772944
Deanz Greenz,Portland,Multnomah,"10415 Ne Sandy Blvd. , Portland, Or",-122.5553693,45.5591436
Deanz Greenz,Portland,Multnomah,"5625 B Se 85Th Avenue , Portland, Or",-122.5761366,45.4817166
Deanz Greenz,Portland,Multnomah,"14154 Se Division St , Portland, Or",-122.5172857,45.503879
Deanz Greenz,Portland,Multnomah,"851 Ne Columbia Blvd , Portland, Or",-122.6562983,45.5798433
Diem,Portland,Multnomah,"305 Se 3Rd Ave Suite #203 , Portland, Or",-122.663022,45.5206251
Doctor'S Orders,Portland,Multnomah,"3424 Ne 82Nd Ave , Portland, Or",-122.578445,45.5475428
Eden,Portland,Multnomah,"7420 Ne Sandy Boulevard , Portland, Or",-122.5864769,45.549004
Eden,Portland,Multnomah,"128 Se 12Th Ave. , Portland, Or",-122.6532447,45.521765
Eden,Portland,Multnomah,"4124 Se 60Th Ave. Suite B, Portland, Or",-122.6015748,45.4927434
Electric Lettuce,Portland,Multnomah,"12131 Se Holgate Blvd , Portland, Or",-122.5382728,45.4899659
Electric Lettuce Alberta,Portland,Multnomah,"1313 Ne Alberta St , Portland, Or",-122.6522553,45.5592855
Electric Lettuce Lloyd District,Portland,Multnomah,"203 Ne Weidler St. , Portland, Or",-122.6634883,45.5345115
Electric Lettuce Old Town,Portland,Multnomah,"214 Nw Couch Street , Portland, Or",-122.6726458,45.5237048
Electric Lettuce Sellwood,Portland,Multnomah,"7703 Se 13Th Ave. , Portland, Or",-122.6531851,45.4691457
Exodus Wellness Center,Portland,Multnomah,"16211 Se Powell , Portland, Or",-122.496387,45.4948841
Farma,Portland,Multnomah,"916 Se Hawthorne Blvd.  , Portland, Or",-122.6562628,45.5120876
Fidus Pdx,Portland,Multnomah,"7501 Sw Capitol Hwy , Portland, Or",-122.7079535,45.4702282
Five Zero Trees Dekum,Portland,Multnomah,"909 Ne Dekum St , Portland, Or",-122.6563248,45.5719213
Five Zero Trees Portland East ,Portland,Multnomah,"10209-02 Se Division Ave. , Portland, Or",-122.5583379,45.5047772
Five Zero Trees Portland West,Portland,Multnomah,"5336 Sw Beaverton-Hillsdale Hwy. , Portland, Or",-122.7323812,45.4866973
Floyd'S,Portland,Multnomah,"2515 Nw Nicolai , Portland, Or",-122.7041144,45.540867
Floyd'S Fine Cannabis,Portland,Multnomah,"5217 Se 28Th Ave , Portland, Or",-122.6377604,45.4850758
Floyd'S Fine Cannabis,Portland,Multnomah,"5944 Ne Sandy Blvd , Portland, Or",-122.6016598,45.5432145
Floyd'S Fine Cannabis,Portland,Multnomah,"801 Ne Broadway , Portland, Or",-122.6573773,45.5352777
Floyd'S Fine Cannabis,Portland,Multnomah,"9240 N Whitaker Suite B, Portland, Or",-122.6801852,45.5898929
Foster Buds Ne,Portland,Multnomah,"7201 Ne Glisan St. Suite D, Portland, Or",-122.5884152,45.5266701
Foster Buds Se,Portland,Multnomah,"5522 Se Foster Road, , Portland, Or",-122.6058693,45.4939976
Gnome Grown Oregon,Portland,Multnomah,"5012 Ne 28Th Ave , Portland, Or",-122.6365787,45.5592888
Gram Central Station,Portland,Multnomah,"6430 Ne Martin Luther King Jr Blvd , Portland, Or",-122.6609446,45.5695092
Gras Cannabis,Portland,Multnomah,"621 Se 7Th Ave Suite A , Portland, Or",-122.6589099,45.5184004
Greeley Gallery,Portland,Multnomah,"6512 N Greeley Ave , Portland, Or",-122.6951982,45.5704054
Green Box,Portland,Multnomah,"7966 Se Foster Rd , Portland, Or",-122.5813875,45.4835587
Green Goddess Remedies,Portland,Multnomah,"5435 Sw Taylor'S Ferry Rd , Portland, Or",-122.7332248,45.4549461
Green Gratitude,Portland,Multnomah,"10322 Se Holgate Blvd. , Portland, Or",-122.5565688,45.4895484
Green Muse Llc,Portland,Multnomah,"5515 Ne 16Th Ave , Portland, Or",-122.649274,45.5629414
Greenery,Portland,Multnomah,"8700 Sw Barbur Ct Suite M , Portland, Or",-122.7030837,45.4618596
Halsey Organic ,Portland,Multnomah,"16102 Ne Halsey St , Portland, Or",-122.4969096,45.5337872
Happy Leaf,Portland,Multnomah,"1301 Ne Broadway St , Portland, Or",-122.6521626,45.5353041
Hapy Kitchen,Portland,Multnomah,"422 Ne Failing St , Portland, Or",-122.6609955,45.5506045
High Profile,Portland,Multnomah,"2637 Ne Martin Luther King Jr. Blvd, Ste B , Portland, Or",-122.6619631,45.5414544
Higher Healing,Portland,Multnomah,"5311 Se Powell Blvd. Suite L02 , Portland, Or",-122.6076703,45.4977427
Homegrown Oregon,Portland,Multnomah,"6330 Sw Beaverton Hillsdale Hwy , Portland, Or",-122.7423314,45.4868477
Ivy Cannabis,Portland,Multnomah,"11850 N Center Ave , Portland, Or",-122.6814814,45.60893
Jayne,Portland,Multnomah,"2145 Ne Martin Luther King Jr Blvd Suite A, Portland, Or",-122.6621475,45.5385946
Kaleafa,Portland,Multnomah,"5232 Se Woodstock Blvd , Portland, Or",-122.6080262,45.4789927
Kaleafa,Portland,Multnomah,"11821 Ne Glisan St , Portland, Or",-122.5404705,45.5265145
Kaya Shack,Portland,Multnomah,"1719 Se Hawthorne Blvd , Portland, Or",-122.6481285,45.5123328
Kind Heart Collective,Portland,Multnomah,"8217 N Denver Ave , Portland, Or",-122.6871016,45.5827195
Kings Of Canna,Portland,Multnomah,"1465 Ne Prescott Ste C , Portland, Or",-122.6503926,45.5557287
Kush Cart,Portland,Multnomah,"5100 Se Harney Dr, Suites 214A, 214B, & 214C , Portland, Or",-122.6108921,45.462627
La Cannaisseur,Portland,Multnomah,"11324 Nw St Helens Rd , Portland, Or",-122.7885737,45.6030614
La Mota,Portland,Multnomah,"4450 & 4460 Ne Sandy Blvd , Portland, Or",-122.6173062,45.537304
