Geographic Area,2020,2019,long,lat
"Sherwood city, Oregon","18,194","19,879",-122.8402749,45.3563261
"Siletz city, Oregon","1,212","1,305",-123.9201129,44.72178359999999
"Silverton city, Oregon","9,222","10,618",-122.7831455,45.0051213
"Sisters city, Oregon","2,038","2,781",-121.5492119,44.2909491
"Sodaville city, Oregon",308,345,-122.8690294,44.4837288
"Spray town, Oregon",160,148,-119.7944489,44.8343064
"Springfield city, Oregon","59,403","63,230",-123.0220289,44.0462362
"Stanfield city, Oregon","2,043","2,112",-119.2172351,45.7804098
"Stayton city, Oregon","7,644","8,295",-122.7945333,44.8006775
"Sublimity city, Oregon","2,681","2,772",-122.7945335,44.8295663
"Summerville town, Oregon",135,144,-118.0029941,45.4884699
"Sumpter city, Oregon",204,206,-118.2021633,44.74570689999999
"Sutherlin city, Oregon","7,810","8,184",-123.3125763,43.3901177
"Sweet Home city, Oregon","8,925","9,977",-122.7361958,44.3976247
"Talent city, Oregon","6,066","6,608",-122.7886462,42.2456844
"Tangent city, Oregon","1,164","1,347",-123.1081497,44.5412335
"The Dalles city, Oregon","13,620","15,761",-121.1786823,45.5945645
"Tigard city, Oregon","48,035","55,514",-122.7872475,45.4186785
"Tillamook city, Oregon","4,935","5,355",-123.8440137,45.4562158
"Toledo city, Oregon","3,465","3,644",-123.9384478,44.621507
"Troutdale city, Oregon","15,962","16,183",-122.3906213,45.5407696
"Tualatin city, Oregon","26,054","27,837",-122.7821817,45.3779988
"Turner city, Oregon","1,854","2,121",-122.9528708,44.8431766
"Ukiah city, Oregon",186,208,-118.9324815,45.13403
"Umatilla city, Oregon","6,906","7,321",-119.3425179,45.9173549
"Union city, Oregon","2,121","2,221",-117.8652126,45.2084696
"Unity city, Oregon",71,70,-118.1927122,44.4373835
"Vale city, Oregon","1,874","1,818",-117.2382311,43.9821055
"Veneta city, Oregon","4,561","5,056",-123.3509294,44.0487342
"Vernonia city, Oregon","2,151","2,281",-123.1978501,45.8586502
"Waldport city, Oregon","2,033","2,230",-124.0687302,44.426786
"Wallowa city, Oregon",808,837,-117.5282416,45.5701445
"Warrenton city, Oregon","4,989","5,739",-123.9237557,46.1651049
"Wasco city, Oregon",410,412,-120.698113,45.5917918
"Waterloo town, Oregon",229,256,-122.8253658,44.49401210000001
"Westfir city, Oregon",253,267,-122.4964399,43.7573458
"West Linn city, Oregon","25,109","26,736",-122.6400839,45.3859859
"Weston city, Oregon",667,651,-118.424688,45.813744
"Wheeler city, Oregon",414,440,-123.8806879,45.688996
"Willamina city, Oregon","2,025","2,250",-123.4859416,45.0787251
"Wilsonville city, Oregon","19,509","24,918",-122.7726501,45.3029903
"Winston city, Oregon","5,379","5,511",-123.4125724,43.1223383
"Woodburn city, Oregon","24,080","26,273",-122.8553724,45.143731
"Wood Village city, Oregon","3,878","4,093",-122.4184444,45.537111
"Yachats city, Oregon",690,784,-124.1048418,44.31123119999999
"Yamhill city, Oregon","1,024","1,169",-123.1878238,45.3415045
"Yoncalla city, Oregon","1,047","1,096",-123.2825174,43.599141
