TRADE NAME,POSTAL CITY,COUNTY,STREET ADDRESS,ZIP,Med Grade,Delivery,Full Address,long,lat
FIVE ZERO TREES CANNON BEACH,CANNON BEACH,CLATSOP,140 S HEMLOCK ST ,97110,,,"140 S HEMLOCK ST , CANNON BEACH, OR",-123.9612269,45.8963023
OREGROWN CANNON BEACH,CANNON BEACH,CLATSOP,215 N HEMLOCK ST ,97110,,,"215 N HEMLOCK ST , CANNON BEACH, OR",-123.9606526,45.89854529999999
SWEET RELIEF GEARHART,GEARHART,CLATSOP,4210 HWY 101 N. ,97138,Yes,Yes,"4210 HWY 101 N. , GEARHART, OR",-123.913678,46.0352426
CANNA BEACH JUNCTION,SEASIDE,CLATSOP,84834 HIGHWAY 101 ,97138,Yes,Yes,"84834 HIGHWAY 101 , SEASIDE, OR",-123.9220974,45.9448015
CANNABIS NATION,SEASIDE,CLATSOP,550 S ROOSEVELT DR ,97138,Yes,,"550 S ROOSEVELT DR , SEASIDE, OR",-123.9221029,45.9900941
HIGHWAY 420,SEASIDE,CLATSOP,1803 S ROOSEVELT DR  SUITE C,97138,Yes,,"1803 S ROOSEVELT DR  SUITE C, SEASIDE, OR",-123.9257016,45.9823903
OASIS CANNABIS,SEASIDE,CLATSOP,1111 S. HOLLADAY DRIVE ,97138,Yes,Yes,"1111 S. HOLLADAY DRIVE , SEASIDE, OR",-123.9234803,45.9866249
TSUNAMI MARIJUANA LLC,SEASIDE,CLATSOP,36412 HWY 26 ,97138,Yes,Yes,"36412 HWY 26 , SEASIDE, OR",-123.8180618,45.9084854
WESTERN OREGON DISPENSARY,SEASIDE,CLATSOP,38012 HWY 26 #2 ,97138,,,"38012 HWY 26 #2 , SEASIDE, OR",-123.7594284,45.9018548
HASHSTORIA,WESTPORT,CLATSOP,49332 US-30 SUITE B,97016,,,"49332 US-30 SUITE B, WESTPORT, OR",-123.3732221,46.1293578
GREEN LEAF THERAPY,RAINIER,COLUMBIA,74382 COLUMBIA RIVER HWY ,97048,,Yes,"74382 COLUMBIA RIVER HWY , RAINIER, OR",-122.9051193,46.07391630000001
GREEN LEAF THERAPY,RAINIER,COLUMBIA,74382 COLUMBIA RIVER HWY ,97048,,,"74382 COLUMBIA RIVER HWY , RAINIER, OR",-122.9051193,46.07391630000001
"TODAY'S HERBAL CHOICE RAINIER, LLC",RAINIER,COLUMBIA,75940 ROCKCREST ST C-2 ,97048,Yes,,"75940 ROCKCREST ST C-2 , RAINIER, OR",-122.961269,46.095616
EMERALD CITY DISPENSARY ,SCAPPOOSE,COLUMBIA,50414 COLUMBIA RIVER ,97056,Yes,Yes,"50414 COLUMBIA RIVER , SCAPPOOSE, OR",-122.8753814,45.7272807
GREEN LION 2,SCAPPOOSE,COLUMBIA,50178 COLUMBIA RIVER HIGHWAY ,97056,,,"50178 COLUMBIA RIVER HIGHWAY , SCAPPOOSE, OR",-122.8752564,45.7238415
SWEET RELIEF SCAPPOOSE,SCAPPOOSE,COLUMBIA,52515 COLUMBIA RIVER HWY ,97056,Yes,Yes,"52515 COLUMBIA RIVER HWY , SCAPPOOSE, OR",-122.8784572,45.7576176
GOOD GOOD ,ST. HELENS,COLUMBIA,100 ST. HELENS STREET ,97051,,,"100 ST. HELENS STREET , ST. HELENS, OR",-122.7987864,45.8641183
GREEN LION,ST. HELENS,COLUMBIA,365 S. COLUMBIA RIVER HWY ,97051,Yes,Yes,"365 S. COLUMBIA RIVER HWY , ST. HELENS, OR",-122.8247181,45.8560939
SWEET RELIEF ST. HELENS,ST. HELENS,COLUMBIA,1809 COLUMBIA BLVD ,97051,Yes,Yes,"1809 COLUMBIA BLVD , ST. HELENS, OR",-122.8159648,45.85879629999999
VERNONIA'S NATURAL CHOICE,VERNONIA,COLUMBIA,736 BRIDGE STREET STE 1 PO BOX 385,97064,Yes,,"736 BRIDGE STREET STE 1 PO BOX 385, VERNONIA, OR",-123.1927033,45.8588567
THE FLOWERSHOP ST. HELENS,WARREN,COLUMBIA,56821 COLUMBIA RIVER HWY ,97053,Yes,,"56821 COLUMBIA RIVER HWY , WARREN, OR",-122.8486822,45.8202336
COASTAL CANNABIS,BANDON,COOS,87360 HOFFER LANE ,97411,,,"87360 HOFFER LANE , BANDON, OR",-124.4208571,43.03244429999999
HERBAL CHOICES ,BANDON,COOS,50375 HWY 101  ,97411,Yes,,"50375 HWY 101  , BANDON, OR",-124.4148196,43.104628
RED BARN DISPENSARY,BANDON,COOS,265 NORTH AVE. ,97411,,,"265 NORTH AVE. , BANDON, OR",-124.3976835,43.1192741
ARATHI,COOS BAY,COOS,63049 HIGHWAY 101 ,97420,,,"63049 HIGHWAY 101 , COOS BAY, OR",-124.2064049,43.35605590000001
BAHAMA BUDS,COOS BAY,COOS,1415 N BAYSHORE DR  ,97420,Yes,Yes,"1415 N BAYSHORE DR  , COOS BAY, OR",-124.2175813,43.3783087
HERBAL CHOICES,COOS BAY,COOS,63247 TROLLER ROAD ,97420,Yes,,"63247 TROLLER ROAD , COOS BAY, OR",-124.318561,43.33824569999999
HERBAL CHOICES,COOS BAY,COOS,965 S 1ST ST ,97420,Yes,,"965 S 1ST ST , COOS BAY, OR",-124.2124236,43.35864
KING KANNABIS,COOS BAY,COOS,1544 NEWMARK AVENUE ,97420,Yes,,"1544 NEWMARK AVENUE , COOS BAY, OR",-124.2614949,43.3919843
MR. NICE GUY COOS BAY,COOS BAY,COOS,852 S BROADWAY ,97420,,Yes,"852 S BROADWAY , COOS BAY, OR",-124.2129198,43.36032420000001
MR. NICE GUY RETAIL,COOS BAY,COOS,275 S. BROADWAY ,97420,,,"275 S. BROADWAY , COOS BAY, OR",-124.2133078,43.3662174
POSITIVE VIBRATIONS,COOS BAY,COOS,1195 NEWMARK AVE SUITE A ,97420,Yes,Yes,"1195 NEWMARK AVE SUITE A , COOS BAY, OR",-124.2669043,43.3912334
REDBARN DISPENSARY,COOS BAY,COOS,170 S EMPIRE BLVD. ,97420,,,"170 S EMPIRE BLVD. , COOS BAY, OR",-124.2778897,43.392426
ROOTED COAST CANNABIS,COOS BAY,COOS,2770 WOODLAND DRIVE SUITE A,97420,Yes,Yes,"2770 WOODLAND DRIVE SUITE A, COOS BAY, OR",-124.238609,43.3873133
S & S EMPORIUM,COOS BAY,COOS,294 CENTRAL ,97420,Yes,Yes,"294 CENTRAL , COOS BAY, OR",-124.214889,43.368057
CANNABINOID EXCHANGE,COQUILLE,COOS,1080 W CENTRAL BLVD ,97423,,,"1080 W CENTRAL BLVD , COQUILLE, OR",-124.2001806,43.18642639999999
NATURAL HIGH,COQUILLE,COOS,749 RIVERSIDE DRIVE SUITE A ,97423,Yes,Yes,"749 RIVERSIDE DRIVE SUITE A , COQUILLE, OR",-124.197078,43.1741886
RED BARN DISPENSARY,COQUILLE,COOS,0 NORTH BIRCH STREET ,97423,,,"0 NORTH BIRCH STREET , COQUILLE, OR",-124.190877,43.175559
BUDS 4 U,LAKESIDE,COOS,72217 HWY101 ,97449,,,"72217 HWY101 , LAKESIDE, OR",-124.1818405,43.5914812
LA MOTA,MYRTLE POINT,COOS,1994 ROSEBURG ROAD ,97458,,,"1994 ROSEBURG ROAD , MYRTLE POINT, OR",-124.1300564,43.0508083
REDBARN DISPENSARY,MYRTLE POINT,COOS,1107 MARYLAND AVE. ,97458,,,"1107 MARYLAND AVE. , MYRTLE POINT, OR",-124.1363202,43.0596148
COASTAL HIGH WAYS,NORTH BEND,COOS,2233 BROADWAY ,97459,,,"2233 BROADWAY , NORTH BEND, OR",-124.2391068,43.403425
HERBAL CHOICES,NORTH BEND,COOS,1845 SHERMAN AVENUE ,97459,,,"1845 SHERMAN AVENUE , NORTH BEND, OR",-124.2236738,43.4087967
THE PURSUITS OF HAPPINESS,NORTH BEND,COOS,1760 VIRGINIA AVENUE  ,97459,Yes,Yes,"1760 VIRGINIA AVENUE  , NORTH BEND, OR",-124.2359918,43.40678990000001
"TODAY'S HERBAL CHOICE NB, LLC",NORTH BEND,COOS,3682 TREMONT AVE ,97459,,,"3682 TREMONT AVE , NORTH BEND, OR",-124.2207415,43.389503
BUD BROS LLC,BROOKINGS,CURRY,"1240 CHETCO AVE., STE E, F ",97415,Yes,Yes,"1240 CHETCO AVE., STE E, F , BROOKINGS, OR",-124.2970109,42.0575137
HIGH TIDE WELLNESS CENTER,BROOKINGS,CURRY,15957 US-101 SUITE #4,97415,Yes,Yes,"15957 US-101 SUITE #4, BROOKINGS, OR",-124.2487558,42.0421671
LA MOTA BROOKINGS ,BROOKINGS,CURRY,307 FERN AVE ,97415,,,"307 FERN AVE , BROOKINGS, OR",-124.2807668,42.0515913
SOUTH COAST DISPENSARIES AND MORE,BROOKINGS,CURRY,1025 CHETCO AVE #4 ,97415,Yes,Yes,"1025 CHETCO AVE #4 , BROOKINGS, OR",-124.2919429,42.0550965
STATELINE CANNABIS,BROOKINGS,CURRY,"14377 HIGHWAY 101 S.,  UNIT B ",97415,Yes,Yes,"14377 HIGHWAY 101 S.,  UNIT B , BROOKINGS, OR",-124.2079237,41.9997036
"TRYKE CITY, LLC",BROOKINGS,CURRY,407 OAK ST. UNIT B ,97415,Yes,Yes,"407 OAK ST. UNIT B , BROOKINGS, OR",-124.2782718,42.0529923
WEST COAST ORGANICS,BROOKINGS,CURRY,855 RAILROAD STREET STE. C,97415,Yes,Yes,"855 RAILROAD STREET STE. C, BROOKINGS, OR",-124.288959,42.05197580000001
WORLD FAMOUS TOP SHELF CANNABIS,BROOKINGS,CURRY,704 CHETCO AVE SUITE A ,97415,,Yes,"704 CHETCO AVE SUITE A , BROOKINGS, OR",-124.2836323,42.0525829
CLUB SOCKEYE,GOLD BEACH,CURRY,29970 ELLENSBURG AVE ,97444,Yes,Yes,"29970 ELLENSBURG AVE , GOLD BEACH, OR",-124.4179407,42.4208485
LA MOTA ,GOLD BEACH,CURRY,29846 ELLENSBURG AVE ,97444,,,"29846 ELLENSBURG AVE , GOLD BEACH, OR",-124.4196801,42.4176752
BUDMART,HARBOR,CURRY,97900 SHOPPING CENTER AVE. SUITE #37 ,97415,Yes,Yes,"97900 SHOPPING CENTER AVE. SUITE #37 , HARBOR, OR",-124.2620753,42.0494837
5TH LMNT,BEND,DESCHUTES,63552 N HWY 97 ,97701,Yes,Yes,"63552 N HWY 97 , BEND, OR",-121.2948934,44.1079884
CANNABEND,BEND,DESCHUTES,3312 N HIGHWAY 97 ,97703,Yes,Yes,"3312 N HIGHWAY 97 , BEND, OR",-121.3058414,44.08609269999999
CANNABIS NATION SUNRIVER,BEND,DESCHUTES,56789 LUNAR DRIVE ,97707,Yes,,"56789 LUNAR DRIVE , BEND, OR",-121.456825,43.8627226
CREATIVE CROPS REC,BEND,DESCHUTES,265 SE SCOTT STREET ,97702,Yes,Yes,"265 SE SCOTT STREET , BEND, OR",-121.3031247,44.0496483
DIAMONDTREE,BEND,DESCHUTES,2715 E HIGHWAY 20 ,97701,Yes,,"2715 E HIGHWAY 20 , BEND, OR",-121.2631518,44.0546495
DIAMONDTREE,BEND,DESCHUTES,1233 NW GALVESTON AVE ,97701,Yes,,"1233 NW GALVESTON AVE , BEND, OR",-121.3295721,44.0563948
DR. JOLLY'S,BEND,DESCHUTES,415 SE 3RD ST ,97702,Yes,Yes,"415 SE 3RD ST , BEND, OR",-121.3027633,44.0461063
FYRE,BEND,DESCHUTES,2650 NE DIVISION ST ,97703,,,"2650 NE DIVISION ST , BEND, OR",-121.3052458,44.0758947
GREEN CROSS CANNABIS EMPORIUM,BEND,DESCHUTES,341 SW CENTURY DR. ,97702,,,"341 SW CENTURY DR. , BEND, OR",-121.332137,44.046447
HIGHER ELEVATION,BEND,DESCHUTES,817 NW HILL STREET ,97703,Yes,Yes,"817 NW HILL STREET , BEND, OR",-121.3090102,44.05830479999999
JENNY'S DISPENSARY,BEND,DESCHUTES,932 NE 3RD ST ,97701,Yes,,"932 NE 3RD ST , BEND, OR",-121.3021573,44.059521
MIRACLE GREENS,BEND,DESCHUTES,905 SE 3RD ST ,97702,Yes,Yes,"905 SE 3RD ST , BEND, OR",-121.3033979,44.0414255
MR. NICE GUY BEND,BEND,DESCHUTES,224 SE DAVIS AVE ,97702,Yes,Yes,"224 SE DAVIS AVE , BEND, OR",-121.3032762,44.0493758
NW CHRONIC,BEND,DESCHUTES,325 NE FRANKLIN AVE ,97701,,,"325 NE FRANKLIN AVE , BEND, OR",-121.3017599,44.05574310000001
OREGON EUPHORICS,BEND,DESCHUTES,70 SW CENTURY DR. SUITE #170,97702,,,"70 SW CENTURY DR. SUITE #170, BEND, OR",-121.3304754,44.0509553
OREGROWN BEND,BEND,DESCHUTES,1199 NW WALL ST. ,97703,Yes,Yes,"1199 NW WALL ST. , BEND, OR",-121.3116487,44.0616776
PLANTAE,BEND,DESCHUTES,2115 NE HWY 20 SUITE 107,97701,Yes,Yes,"2115 NE HWY 20 SUITE 107, BEND, OR",-121.2717822,44.05407779999999
SMOKELORE,BEND,DESCHUTES,324 NW HILL ST ,97703,,,"324 NW HILL ST , BEND, OR",-121.3084765,44.05397749999999
SUBSTANCE,BEND,DESCHUTES,1814 NE DIVISION ST. ,97701,Yes,Yes,"1814 NE DIVISION ST. , BEND, OR",-121.3055765,44.06797419999999
SUBSTANCE,BEND,DESCHUTES,20365 EMPIRE AVE. STE 140 ,97703,Yes,Yes,"20365 EMPIRE AVE. STE 140 , BEND, OR",-121.3057519,44.091334
SUBSTANCE,BEND,DESCHUTES,61406 S HWY 97 ,97702,Yes,Yes,"61406 S HWY 97 , BEND, OR",-121.3105844,44.0300306
THE HERB CENTER,BEND,DESCHUTES,2205 NE DIVISION ST.  ,97703,Yes,Yes,"2205 NE DIVISION ST.  , BEND, OR",-121.3061175,44.07183920000001
THE LOCAL MARKET,BEND,DESCHUTES,1216 NE 1ST STREET SUITE 100 ,97701,Yes,Yes,"1216 NE 1ST STREET SUITE 100 , BEND, OR",-121.305224,44.06237
TOKYO SOUTH,BEND,DESCHUTES,61230 S HWY 97 ,97702,Yes,Yes,"61230 S HWY 97 , BEND, OR",-121.314631,44.0236644
TOKYO STARFISH,BEND,DESCHUTES,542 NW ARIZONA AVENUE ,97701,Yes,Yes,"542 NW ARIZONA AVENUE , BEND, OR",-121.3151897,44.0516612
TOKYO STARFISH 3,BEND,DESCHUTES,923 SE 3RD ST. ,97702,Yes,Yes,"923 SE 3RD ST. , BEND, OR",-121.3034572,44.0411852
TOP SHELF MEDICINE,BEND,DESCHUTES,815 NE GREENWOOD AVE ,97701,,,"815 NE GREENWOOD AVE , BEND, OR",-121.2935081,44.059589
GREEN KNOTTZ,LA PINE,DESCHUTES,51546 HIGHWAY 97 #7 ,97739,Yes,,"51546 HIGHWAY 97 #7 , LA PINE, OR",-121.5010769,43.6726035
HD BOTANICALS,LA PINE,DESCHUTES,51366 HWY 97 ,97739,Yes,,"51366 HWY 97 , LA PINE, OR",-121.5067651,43.6660106
HOUSE OF HASH,LA PINE,DESCHUTES,51456 HWY 97 #3 ,97739,,,"51456 HWY 97 #3 , LA PINE, OR",-121.5034263,43.6689082
LA MOTA,DRAIN,DOUGLAS,257 2ND ST ,97435,Yes,Yes,"257 2ND ST , DRAIN, OR",-123.3163886,43.6633132
REDBARN CANNABIS,MYRTLE CREEK,DOUGLAS,1069 N OLD PACIFIC HWY ,97457,Yes,Yes,"1069 N OLD PACIFIC HWY , MYRTLE CREEK, OR",-123.2999196,43.0064426
COASTAL HIGH WAYS REEDSPORT,REEDSPORT,DOUGLAS,470 FIR AVE ,97467,,,"470 FIR AVE , REEDSPORT, OR",-124.0980088,43.7017441
HERBAL CHOICES,REEDSPORT,DOUGLAS,1891 WINCHESTER AVENUE ,97467,,,"1891 WINCHESTER AVENUE , REEDSPORT, OR",-124.1185435,43.6964111
REDBARN DISPENSARY,REEDSPORT,DOUGLAS,1780 WINCHESTER AVE ,97467,,,"1780 WINCHESTER AVE , REEDSPORT, OR",-124.1160158,43.6963502
THE HOUSE OF DANK LLC,REEDSPORT,DOUGLAS,379 FIR AVE  UNITS 6-8 ,97467,Yes,,"379 FIR AVE  UNITS 6-8 , REEDSPORT, OR",-124.0967292,43.7025906
"TODAY'S HERBAL CHOICE REEDSPORT, LLC",REEDSPORT,DOUGLAS,1051 HWY 101 S ,97467,,,"1051 HWY 101 S , REEDSPORT, OR",-123.4675447,48.1067027
420 CLUB LLC,ROSEBURG,DOUGLAS,2566 NE STEPHENS ST ,97470,Yes,Yes,"2566 NE STEPHENS ST , ROSEBURG, OR",-123.3532114,43.24151699999999
CANNAKING MARIJUANA DISPENSARIES,ROSEBURG,DOUGLAS,1449 NW MULHOLLAND DR ,97470,Yes,Yes,"1449 NW MULHOLLAND DR , ROSEBURG, OR",-123.3591627,43.2271168
COUGAR CANNABIS LLC,ROSEBURG,DOUGLAS,1989 NE DIAMOND LAKE BLVD ,97470,Yes,,"1989 NE DIAMOND LAKE BLVD , ROSEBURG, OR",-123.3337758,43.2131287
